Day,Track,Time,Duration,Title,Speaker,Affiliation,Highlight,Abstract
Mon,Break,8:00,0:15,Registration,,,,
Mon,Break,8:15,0:45,Breakfast,,,,
Mon,Plen,9:00,0:15,President's Welcome,Cody Wilson,IBA Industrial,,
Mon,Plen,9:15,0:15,Introduction to Needs Report,Shaheen Dewji,Georgia Institute of Technology,,
Mon,Plen,9:30,0:15,Introduction to NIST,Alan K. Thompson,NIST,,
Mon,Plen,9:45,0:30,Keynote: Perspective from the Hill,Ariel Marshall,Scale AI,,
Mon,Break,10:15,0:15,Health break,,,,
Mon,Plen,10:30,0:30,"Plenary 1: Cobalt-60 and Gamma applications: Effective, understood, growing, and sustainable",Richard Weins,Nordion,,weins
Mon,Plen,11:00,0:30,Plenary 2: Heat you can measure: Verification and standards for clinical hyperthermia,Dario Rodrigues,University of Maryland Medical Center,,rodrigues
Mon,Plen,11:30,0:30,Poster blitz 1,,,yes,
Mon,Plen,12:00,0:30,Poster viewing session,,,yes,
Mon,Break,12:30,1:00,Lunch — Caswell lunch,,,,
Mon,RPHS-RPME,13:30,0:10,Session 1: Radiation Applications (Main Ballroom),Ileana Pazos,,,
Mon,RPHS-RPME,13:40,0:20,Dose uniformity ratio changes due to device movement in radiation sterilization,Tobias Funk,Triple Ring Technologies,,funk
Mon,RPHS-RPME,14:00,0:20,Phytosanitary irradiation in international trade,Emilia Bustos,North Carolina State University,,bustos
Mon,RPHS-RPME,14:20,0:20,The effect of e-beam irradiation direction on product dose uniformity and dosimeter response,Ayeh Jowzaee,STERIS,,jowzaee
Mon,RPHS-RPME,14:40,0:20,A modern evaluation of maximum dose limitations in radiation processing,Mike Christofaro,Reveam,,christofaro
Mon,MApp,13:30,0:10,Session 1: Neutron Dosimetry (Room 2062 on 2nd floor),"Sergio Morato Rafet, Tom Winters, and Matthew Mille",,,
Mon,MApp,13:40,0:20,"Radiation safety considerations for electron and proton FLASH vaults: shielding, neutron production, and neutron activation",Yannick Poirier,University of Maryland School of Medicine,,
Mon,MApp,14:00,0:20,Revisiting deterministic neutron RBEs: Insights from urban nuclear detonation scenario analyses and their implications in other exposure settings,Daniela Stricklin,CDC,,stricklin
Mon,MApp,14:20,0:20,Neutron calibrations: Dosimetry and personnel protection,Daniel Jardin,NIST,,jardin
Mon,MApp,14:40,0:20,Neutron dosimetry in Intensity-Modulated Neutron Therapy (IMNT) cancer treatment,Adrienne Lehnert,University of Washington,,lehnert
Mon,Break,15:00,0:30,Health Break,,,,
Mon,MApp-RPME,15:30,0:10,Session 2: Flash Radiotherapy (Main Ballroom),"Wes Culberson, Matthew Mille, Spencer Mickum",,,
Mon,MApp-RPME,15:40,0:20,Creating an ultra-thin parallel plate ionization chamber for Flash dosimetry,Shannon Holmes,Standard Imaging,,holmes
Mon,MApp-RPME,16:00,0:20,A complementary multidetector dosimetry system for the traceable characterization of a novel UHDR electron beam,Malcolm McEwen,National Research Council Canada,,mcewen
Mon,MApp-RPME,16:20,0:20,"Design, optimization, and characterization of a MLSIC device for proton FLASH-RT QA in a synchrocyclotron and an isochronous cyclotron",Tiezhi Zhang,TetraImaging LLC,,zhang
Mon,MApp-RPME,16:40,0:20,Needs,,,,
Mon,RPHS,15:30,0:10,Session 2: Radiation Measurement & Consequence Management (Room 2062 on 2nd floor),Emmanuel Mate-Kole and Sara Dumit,,,
Mon,RPHS,15:40,0:20,"Modeling plutonium decorporation in female nuclear worker treated with Ca-DTPA",Sara Dumit,LANL,,dumit
Mon,RPHS,16:00,0:20,"Debunking myths and urban legends in ionizing radiation dosimetry",Chris Passmore,Radiation Detection Company,,
Mon,RPHS,16:20,0:20,"A new online computer program for neutron activation analysis",Rui Fang,"University of Nevada, Las Vegas",,fang
